"conversations_path","session_path","apiConversation_path","mcp_path","relationship","note"
"rsc/schema/chat-exports/memories#/properties/conversations_memory","rsc/schema/code-agents/projectMemory#/definitions/Fact/properties/body","","","structurally_similar","chat memory is ONE mutable document per account; project memory is a folder of named facts — a fact body is the analogous free text and the granularity difference is the point"
"rsc/schema/chat-exports/conversations#/definitions/ThinkingBlock/properties/thinking_hidden","","rsc/schema/browser-captures/apiConversation#/definitions/ApiThinkingBlock/properties/thinking_hidden","","coupled_relaxation","surfaced in both formats between the 2026-07-08 and 2026-07-11 exports (conversations v16 + apiConversation v9); observed false only; the CLI session ThinkingBlock does not carry it"
"rsc/schema/chat-exports/conversations#/definitions/Conversation/properties/account/properties/uuid","rsc/schema/chat-exports/memories#/properties/account_uuid","rsc/schema/chat-exports/users#/items/properties/uuid","rsc/schema/chat-exports/projects#/properties/creator/properties/uuid","identical","the one account-holder uuid under four dressings (account.uuid / account_uuid / uuid / creator.uuid); all four sides state the v4 pattern (conversations via UuidV4; memories v3, users v2, projects v3 minted 2026-08-25, #527); UserUUID's grounding edge (issue #19: grounding by property trail)"
"rsc/schema/chat-exports/conversations#/definitions/AskUserQuestion","","rsc/schema/browser-captures/apiConversation#/definitions/AskUserQuestion","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/AskUserToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/AskUserToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/AskUserToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/AskUserToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/BashToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/BashToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/BashToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/BashToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ConversationSearchToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/ConversationSearchToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ConversationSearchToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/ConversationSearchToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/CreateFileToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/CreateFileToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/CreateFileToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/CreateFileToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/DisplayContentJsonBlock","","rsc/schema/browser-captures/apiConversation#/definitions/DisplayContentJsonBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/DisplayContentTable","","rsc/schema/browser-captures/apiConversation#/definitions/DisplayContentTable","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/DisplayContentText","","rsc/schema/browser-captures/apiConversation#/definitions/DisplayContentText","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/HasNameDiscriminatorProperty","","rsc/schema/browser-captures/apiConversation#/definitions/HasNameDiscriminatorProperty","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/HasTypeDiscriminatorProperty","rsc/schema/code-agents/session#/definitions/HasTypeDiscriminatorProperty","rsc/schema/browser-captures/apiConversation#/definitions/HasTypeDiscriminatorProperty","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/IconName","","rsc/schema/browser-captures/apiConversation#/definitions/IconName","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/McpToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/McpToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/McpToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/McpToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/MemoryUserEditsToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/MemoryUserEditsToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/MemoryUserEditsToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/MemoryUserEditsToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/NamespacedToolName","","rsc/schema/browser-captures/apiConversation#/definitions/NamespacedToolName","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/NullableBoolean","","rsc/schema/browser-captures/apiConversation#/definitions/NullableBoolean","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/NullableString","","rsc/schema/browser-captures/apiConversation#/definitions/NullableString","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/PresentFilesToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/PresentFilesToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/PresentFilesToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/PresentFilesToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/PromptContextMetadataFetch","","rsc/schema/browser-captures/apiConversation#/definitions/PromptContextMetadataFetch","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/PromptContextMetadataSearch","","rsc/schema/browser-captures/apiConversation#/definitions/PromptContextMetadataSearch","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ReadMeToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/ReadMeToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ReadMeToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/ReadMeToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/RecentChatsToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/RecentChatsToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/RecentChatsToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/RecentChatsToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/RecommendClaudeAppsToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/RecommendClaudeAppsToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/RecommendClaudeAppsToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/RecommendClaudeAppsToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/StrReplaceToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/StrReplaceToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/StrReplaceToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/StrReplaceToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ThinkingSummary","","rsc/schema/browser-captures/apiConversation#/definitions/ThinkingSummary","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/Timestamp","rsc/schema/code-agents/session#/definitions/Timestamp","rsc/schema/browser-captures/apiConversation#/definitions/Timestamp","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolId","","rsc/schema/browser-captures/apiConversation#/definitions/ToolId","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputAskUser","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputAskUser","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputBash","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputBash","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputConversationSearch","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputConversationSearch","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputCreateFile","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputCreateFile","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputMemoryUserEdits","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputMemoryUserEdits","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputPresentFiles","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputPresentFiles","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputReadMe","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputReadMe","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputRecentChats","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputRecentChats","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputRecommendClaudeApps","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputRecommendClaudeApps","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputSearchMcpRegistry","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputSearchMcpRegistry","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputStrReplace","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputStrReplace","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputToolSearch","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputToolSearch","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputView","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputView","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputVisualizer","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputVisualizer","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputWebFetch","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputWebFetch","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolInputWebSearch","","rsc/schema/browser-captures/apiConversation#/definitions/ToolInputWebSearch","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolName","","rsc/schema/browser-captures/apiConversation#/definitions/ToolName","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolSearchToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/ToolSearchToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ToolSearchToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/ToolSearchToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/UuidV4","rsc/schema/code-agents/session#/definitions/UuidV4","rsc/schema/browser-captures/apiConversation#/definitions/UuidV4","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/UuidV4orV7","","rsc/schema/browser-captures/apiConversation#/definitions/UuidV4orV7","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/UuidV7","","rsc/schema/browser-captures/apiConversation#/definitions/UuidV7","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ViewToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/ViewToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/ViewToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/ViewToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/VisualizerToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/VisualizerToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/VisualizerToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/VisualizerToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/WebFetchToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/WebFetchToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/WebFetchToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/WebFetchToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/WebSearchToolResultBlock","","rsc/schema/browser-captures/apiConversation#/definitions/WebSearchToolResultBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/WebSearchToolUseBlock","","rsc/schema/browser-captures/apiConversation#/definitions/WebSearchToolUseBlock","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/WebpageMetadata","","rsc/schema/browser-captures/apiConversation#/definitions/WebpageMetadata","","identical","adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest"
"rsc/schema/chat-exports/conversations#/definitions/Message","rsc/schema/code-agents/session#/definitions/UserMessage","","rsc/reference/mcp#/$defs/SamplingMessage","structurally_similar","MCP's sampling layer at the message level: a role and a content. SamplingMessage adds _meta and admits one SamplingMessageContentBlock or an array; the CLI admits a string or an array of ContentBlock; conv spells the role as sender (human | assistant) and adds an envelope (uuid, text, timestamps, attachments, files, parent_message_uuid). Judged against the 2026-07-28 lineage (reading-room, 2026-09-09)."
"","rsc/schema/code-agents/session#/definitions/AssistantMessage","","rsc/reference/mcp#/$defs/CreateMessageResult","structurally_similar","The sampled turn: both carry model, role, content and a stop reason. CLI adds id, type, stop_sequence, stop_details, usage, container, context_management, diagnostics; MCP adds _meta and admits one block or an array. Judged against the 2026-07-28 lineage (reading-room, 2026-09-09)."
"","rsc/schema/code-agents/session#/definitions/UserMessage/properties/role","","rsc/reference/mcp#/$defs/Role","subset","CLI pins one value per message type (user, the discriminator); MCP Role is the two-value enum user | assistant. Judged against the 2026-07-28 lineage (reading-room, 2026-09-09)."
"","rsc/schema/code-agents/session#/definitions/AssistantMessage/properties/role","","rsc/reference/mcp#/$defs/Role","subset","CLI pins one value per message type (assistant, the discriminator); MCP Role is the two-value enum user | assistant. Judged against the 2026-07-28 lineage (reading-room, 2026-09-09)."
"","rsc/schema/code-agents/session#/definitions/AssistantMessage/properties/model","","rsc/reference/mcp#/$defs/CreateMessageResult/properties/model","subset","CLI narrows to ModelId (the exhaustive observed set) or the not-a-model marker; MCP admits any string. Judged against the 2026-07-28 lineage (reading-room, 2026-09-09)."
"","rsc/schema/code-agents/session#/definitions/AssistantMessage/properties/stop_reason","","rsc/reference/mcp#/$defs/CreateMessageResult/properties/stopReason","structurally_similar","Both open strings; CLI admits null while streaming, MCP camelCases (stopReason) and names endTurn, stopSequence, maxTokens and toolUse as standard values. Judged against the 2026-07-28 lineage (reading-room, 2026-09-09)."
"","rsc/schema/code-agents/session#/definitions/MessageContent","","rsc/reference/mcp#/$defs/SamplingMessage/properties/content","structurally_similar","CLI: a string or a non-empty array of ContentBlock; MCP: one SamplingMessageContentBlock or an array of them. Judged against the 2026-07-28 lineage (reading-room, 2026-09-09)."
